WP_CD;WP_TTL
SUSTDEV-2002-6.1.3.1.1.1-2;Low cost photovoltaic modules with integrated dc/ac inverters that can feed directly into the grid
SUSTDEV-2002-6.1.3.1.1.1-3;Innovative combinations of biomass and wastes with fossil fuels
SUSTDEV-2002-6.1.3.1.1.1-4;Innovative wind turbines, components and design tools
SUSTDEV-2002-6.1.3.1.1.1-5;New generation of PV technologies / products
SUSTDEV-2002-6.1.3.1.1.1-6;Geothermal energy
SUSTDEV-2002-6.1.3.1.1.1-7;All
SUSTDEV-2002-6.1.3.1.1.2-2;Distributed electricity generation
SUSTDEV-2002-6.1.3.1.1.2-3;Electricity storage systems
SUSTDEV-2002-6.1.3.1.1.2-4;Heating and cooling
SUSTDEV-2002-6.1.3.1.2.1-1;Innovative architecture aiming at low-energy demand buildings
SUSTDEV-2002-6.1.3.1.2.1-2;Integration of renewable energy technologies and efficient technological solutions
SUSTDEV-2002-6.1.3.1.2.1-3;Low energy construction and/or retrofitting materials, innovative components and technologies
SUSTDEV-2002-6.1.3.1.2.1-4;Innovative building management systems (BMS)
SUSTDEV-2002-6.1.3.1.3-1;Large scale integration of alternative fuels into the transport system. Considering resources, production, storage, distribution and use. Tools to monitor and stimulate demand.
SUSTDEV-2002-6.1.3.1.3-2;Assessment and monitoring of new and alternative fuel research activities.
SUSTDEV-2003-3.1.1.1.1;Future generation of clean and competitive engines for heavy duty vehicles
SUSTDEV-2003-3.1.1.1.2;Hydrogen and fuel cell power-train concepts for transport means
SUSTDEV-2003-3.1.1.1.5;Research domains 1.4 to 1.10 for all surface transport modes
SUSTDEV-2003-3.2.2.2.1;Light weight, low mass road vehicles
SUSTDEV-2003-3.2.2.2.2;Next generation affordable urban guided public transport
SUSTDEV-2003-3.2.2.2.3;Virtual environment for an integrated fluid dynamic analysis in ship design (the Vurtual Basin)
SUSTDEV-2003-3.2.2.2.4;Risk based ship design and approval
SUSTDEV-2003-3.2.2.2.5;Visionary concepts for vessels and floating structures
SUSTDEV-2003-3.2.2.2.6;Research domains 2.5 and 2.6 for all surface transport modes, domain 2.2 for new product generations only, and domain 2.7 for rail transport only
SUSTDEV-2003-3.2.2.2.7;Research domains 2.1 to 2.7 for all surface transport modes
SUSTDEV-2003-3.3.1.3.1;Increased reliability and performance of the rail system through intelligent vehicles and infrastructure systems and their maintenance
SUSTDEV-2003-3.3.1.3.2;Research domain 3.16 for all surface transport modes
SUSTDEV-2003-3.3.1.3.3;Research domains 3.14 to 3.17 for all surface transport modes
SUSTDEV-2003-3.4.1.4.1;Research domain 4.12 for all surface transport modes
SUSTDEV-2003-3.4.1.4.2;Research domains 4.11 to 4.16 for all surface transport modes
SUSTDEV-2004-1.1.1-1;Innovative combinations of biomass with fossil fuels
SUSTDEV-2004-1.1.1-2;Innovative demonstrations of improvements to energy recovery and renewable electricity production using waste materials and other commonly available biomass feedstocks
SUSTDEV-2004-1.1.1-3;Innovative approaches to improving the yield of medium to large scale biogas plants
SUSTDEV-2004-1.1.1-4;Innovative combinations of biomass and wastes with fossil fuels
SUSTDEV-2004-1.1.1-5;Innovative wind farms, components and design tools
SUSTDEV-2004-1.1.1-6;Innovations in PV manufacturing plant at an industrial scale
SUSTDEV-2004-1.1.1-7;Geothermal energy
SUSTDEV-2004-1.1.1-8;Ocean / marine energy technologies
SUSTDEV-2004-1.1.1-9;All
SUSTDEV-2004-1.1.4-1;Improvement of the competitiveness of polygeneration
SUSTDEV-2004-1.1.4-2;Innovative integration of polygeneration
SUSTDEV-2004-1.1.5-1;Biofuel-Cities
SUSTDEV-2004-1.1.5-2;Hydrogen for transport
SUSTDEV-2004-1.1.7-1;Grid issues - Distributed electricity generation
SUSTDEV-2004-1.1.7-2;Grid issues - Management of electricity grids linked to large scale decentralised wind power generation
SUSTDEV-2004-1.1.8-1;Thematic Promotion and Dissemination - Renewable electricity technologies
SUSTDEV-2004-1.1.8-2;Thematic Promotion and Dissemination - Renewable heating and cooling technologies
SUSTDEV-2004-1.1.8-3;Thematic Promotion and Dissemination - Production and distribution of liquid and gaseous biofuels
SUSTDEV-2004-1.1.8-4;Thematic Promotion and Dissemination - Eco-buildings
SUSTDEV-2004-1.1.8-5;Thematic Promotion and Dissemination - Polygeneration
SUSTDEV-2004-1.1.8-6;Thematic Promotion and Dissemination - Energy demand management and renewable energy supply in high performance communities
SUSTDEV-2004-1.1.8-7;Thematic Promotion and Dissemination - Alternative motor fuels
SUSTDEV-2004-3.1.1.1.2;High quality public transport - CIVITAS II
SUSTDEV-2002-3.1.1.1.3;Advancing knowledge on innovative measures in urban transport
SUSTDEV-2004-3.1.1.1.3;Advancing knowledge on innovative measures in urban transport - CIVITAS II
SUSTDEV-2004-3.3.1.3.4;Intermodal freight transport systems, technologies and strategies
SUSTDEV-2004-3.3.1.3.5;Intermodal freight transport management
SUSTDEV-2004-3.3.1.3.9;Logistics best practice
SUSTDEV-2004-3.4.1.4.10;User reaction and efficient differentiation of charges and tolls
SUSTDEV-2004-3.4.1.4.11;Improve infrastructure cost allocation methods
SUSTDEV-2004-3.4.1.4.12;Design appropriate contractual relationships
SUSTDEV-2004-3.4.1.4.2;Influence of alcohol, drugs and medicines
SUSTDEV-2004-3.4.1.4.4;Road Safety Enforcement
SUSTDEV-2004-3.4.1.4.5;Effectiveness of Road Safety Campaigns
SUSTDEV-2004-3.4.1.4.7;Multimodal real time information for people on the move
SUSTDEV-2004-3.I.1.1;Nitrogen cycle and its interaction with the C-cycle
SUSTDEV-2004-3.I.2.b;Atmospheric pollutants and climate forcing
SUSTDEV-2004-3.I.3.a;Hot spots in the earth system
SUSTDEV-2004-3.I.3.b;Coupled climate system
SUSTDEV-2004-3.I.3.c;Novel paleoreconstruction methods
SUSTDEV-2004-3.II.1.1;Assessing the vulnerability of global water resources to environmental change
SUSTDEV-2004-3.II.1.2;Advances in flood and drought forecasting
SUSTDEV-2004-3.II.2.1;Integrated risk-based management of the water-sediment-soil system at river-basin scale
SUSTDEV-2004-3.II.2.2;Soil-groundwater protection and rehabilitation
SUSTDEV-2004-3.II.3.2.a;Wastewater treatment for re-use
SUSTDEV-2004-3.II.4.1;Water scenarios for Europe and for neighboring countries
SUSTDEV-2004-3.III.1.1;Taxonomy for biodiversity and ecosystem research
SUSTDEV-2004-3.III.1.5;Integrated research on ecosystems lying in the deeper ocean section
SUSTDEV-2004-3.III.2.1;Shaping biodiversity conservation strategies for terrestrial and fresh water ecosystems
SUSTDEV-2004-3.III.4.3;Create an inventory of invasive species
SUSTDEV-2004-3.IV.1.1;Integrated forest fire management
SUSTDEV-2004-3.IV.1.c;Combating desertification
SUSTDEV-2004-3.V.1.1.a;Enhanced impact assessment and management tools for sustainable land-use with a multifunctional approach
SUSTDEV-2004-3.V.1.2.1;Integrated Coastal Zone Management (ICZM)
SUSTDEV-2004-3.VI.1.1;Earth system observations (II)
SUSTDEV-2004-3.VI.1.a;Earth system observations
SUSTDEV-2004-3.VI.1.b;Co-operative projects on climate observation
SUSTDEV-2004-3.VIII.1.c;Externalities
SUSTDEV-2004-3.VIII.2.e;Education programmes
SUSTDEV-2004-3-SSA.2.3;European contribution to climate related polar research
SUSTDEV-2004-3-SSA.2.4;Consolidation and impact assessment of results achieved in EU research projects relating to regional and urban sustainability aspects
SUSTDEV-2004-3-SSA.2.5;Providing scientific, technical and logistic support for the activities of the European Platform for Biodiversity Researcgh Strategy (EPBRS) - call for tender in 2004
SUSTDEV-2004-SSA-3.5.1;Dissemination and promotion of transport research results
SUSTDEV-AERO-Hydrogen;Fuel Cell and Hybrid Vehicle Development.
SP1;Integrating and strengthening the European Research Area
SP2;Structuring the European Research Area
SP3;Non-nuclear activities of the JRC
SP4;Research and training on nuclear energy
SP5;Nuclear activities of the JRC
FOCUS;Focusing and integrating community research
NUCACT;Other activities in the field of nuclear technologies and safety
NUCTECH-2004-3.4.1.1-3;Supercritical Water-cooled Reactors
PRIORITY1;Priority thematic areas
PRIORITY2;Priority thematic areas
NUWASTE-2003-3.2.1.1-1;Sustainable integration of European research in geological disposal of radioactive waste
SPEC;Specific activities covering a wider field of research
STRENGTH;Strengthening the foundations of the european research area
STRUCTURE;Structuring the European research area
NUWASTE;Management of radioactive waste
INFRA-2007-1.2.1;Scientific Digital Repositories
INFRA-2007-1.2.2;Deployment of e-Infrastructures for scientific communities
INFRA-2007-2.1.2;Design studies for e-Infrastructures
INFRA-2007-2.2.2.1;"Preparatory phase for ""Computer and Data Treatment"" research infrastructures in the 2006 ESFRI Roadmap"
ENERGY-2007-1.1-01;Basic research for materials and processes for Polymer Electrolyte Membrane Fuel Cells (PEMFC)
ENERGY-2007-1.1-03;Innovative concepts for fuel cells
ENERGY-2007-1.2-01;New materials and processes for advanced electrolysers
ENERGY-2007-1.2-03;Advanced Materials for High Temperature thermo-chemical processes
ENERGY-2007-1.2-04;Novel nanostructured materials for hydrogen storage
ENERGY-2007-2.1-01;Intermediate band (IB) materials and cells for PV
ENERGY-2007-2.1-02;Dye-sensitised PV solar cells
ENERGY-2007-2.1-06;Alternative approaches for crystalline silicon PV
ENERGY-2007-2.2-01;Advanced gas cleaning technologies for biomass
ENERGY-2007-3.2-03;High purity syngas cleaning technologies for biofuels
ENERGY-2007-3.3-02;New uses for glycerine in biorefineries
ENERGY-2007-3.5-01;Fuel production using solar radiation
ENERGY-2007-5.1-01;Advanced pre-combustion capture techniques
ENERGY-2007-5.1-04;Separation techniques in gaseous fuel power generation (RTD)
ENERGY-2007-5+6.2-01;Support to regulatory activities for CO2 capture and storage
ENERGY-2007-9.1-01;Energy security of supply
ENERGY-2007-9.1-02;Energy behavioural changes
ENERGY-2007-9.1-03;Energy technological foresight and scenario development
ENERGY-2007-9.2-01;Energy foresight network
Fission-2007-1.2-01;Partitioning processes for viable recycling strategies
Fission-2007-2.1-03;Advanced safety assessment methodologies
Fission-2007-3.1-01;Non-cancer effects
Fission-2007-3.2-01;Materials for transmutation technologies and advanced reactors
Fission-2007-6.0.02;Fission-2007-6.2: Materials for transmutation technologies and advanced reactors
NMP-2007-2.1-3;Characterisation of nanostructured materials
REGIONS-2007-1-01;Bringing the benefits of research to SMEs
SEC-2007-6.1-03;Communication strategies of public authorities (including media strategies) before, during and after crises concerning risks, security threats and measures
SEC-2007-7.0-06;Trans-national co-operation among NCPs
TPT-2007-0.0-02;"Optimisation of an integrated chain for freight transport logistics by ""co-modality"""
TPT-2007-0.0-03;Transport contribution to improve competitiveness of European tourism
TPT-2007-0.0-04;The connected traveller in the city, region and world of tomorrow
TPT-2007-0.0-05;Raising Citizen Awareness of Transport Research in Europe
ENERGY-2007-2.7-01;New or improved hydro components and concepts
ENERGY-2007-2.3-03;Testing, standards and certification for wind energy systems
ENERGY-2007-3.2-07;Identifying research needs and technological opportunities for biofuels production in Latin America
SEC-2007-4.3-01;Developing a common operational picture between regional and national authorities, first responders etc.
SEC-2007-4.3-02;Intelligent decision support
SEC-2007-6.1-02;Human behaviour before, during and after crisis situations to understand how people react to threat alerts and security instructions
SEC-2007-7.0-02;European Security Research Networks (incl. for standardisation)
SEC-2007-6.4-01;Research survey on the emerging field of European security economics research to provide an analytical framework for complementary research
SEC-2007-2.3-04;Small area 24 hours surveillance
SEC-2007-3.3-02;Surveillance in wide maritime areas through active and passive means
ENERGY;Energy
REGPOT-2007-3-01;All thematic priorities' domains of the FP7
REGPOT-2007-1-01;All thematic priorities' domains of the FP7
ERANET;ERANET
REGPOT;Research Potential
COH;Support for the coherent development of research policies
SPA;Space
ENERGY-2007-3.7-01;Harmonisation of biomass resource assessment
NMP-2007-1.3-5;Coordination in studying the environmental, safety and health impact of engineered nanoparticles and nanotechnology based materials and products
INFRA-2007-3.3;Studies, conferences and coordination actions supporting policy development, including international cooperation, for e-Infrastructures
INFRA-2007-1.2.3;e-Science Grid infrastructures
REGPOT-2007-2-01;All thematic priorities domains of the FP7
ENERGY-2007-7.1-01;Develop and validate innovative control strategies and network architectures for active networks with large-scale penetration of renewables sources and distributed generation
HEALTH-2007-1.2-1;Development of a hybrid imaging system
HEALTH-2007-1.2-2;Novel optical methodologies for detection, diagnosis and monitoring of disease or disease-related processes
HEALTH-2007-2.4.1-4;Novel cancer screening methods
HEALTH-2007-1.3-1;Novel alternative testing strategies for use in pharmaceutical discovery and development
HEALTH-2007-1.3-4;Alternative testing strategies for the assessment of the toxicological profile of nanoparticles used in medical diagnostics
HEALTH-2007-2.1.1-5;Structure-function analysis of membrane-transporters and channels for the identification of potential drug target sites
HEALTH-2007-2.2.1-1;Stroke and mechanisms underlying ischemic brain damage
HEALTH-2007-2.4.1-5;Optimising research on end of life care of cancer patients
HEALTH-2007-2.4.1-6;Understanding and fighting metastasis
HEALTH-2007-2.4.1-7;Improving targeted drug delivery to cancer cells for cancer therapeutics other than gene therapy
HEALTH-2007-2.4.1-8;Developing high-throughput bioassays and models for human cancers in lower species
HEALTH-2007-2.4.4-1;Natural course and pathophysiology of rare diseases
HEALTH-2007-2.4.4-2;Research capacity-building in the field of rare diseases
HEALTH-2007-2.4.5-4;Genetic factors of Osteoporosis
HEALTH-2007-2.4.5-9;Visual impairment and degeneration
INFRA-2007-2.1-01;Design studies for research infrastructures in all S&T fields
INFRA-2007-2.2-01;Preparatory phase for the projects in the 2006 ESFRI Roadmap
INFRA-2007-3.0-01;ERA-NET supporting cooperation for research infrastructures in all S&T fields
KBBE-2007-2-3-03;(Bio-)technologies for the production of food additives, colorants and flavours
NMP-2007-1.1-2;Self-assembling and self-organisation
NMP-2007-3.2-2;Process Intensification in Chemicals Production
PEOPLE-2007-3-1-IAPP;"Marie Curie Action: ""Industry-Academia Partnerships and Pathways"""
SEC-2007-3.2-02;Unregulated land borders and wide land surveillance system
HEALTH-2007-1.1-1;Unifying human and model organism genetic variation databases
HEALTH-2007-1.3-2;Bottlenecks in reduction, refinement and replacement of animal testing in pharmaceutical discovery and development
HEALTH-2007-2.1.1-2;Molecular epidemiological studies in existing well characterised European (and/or other) population cohorts
HEALTH-2007-2.1.1-4;Characterisation and variability of the microbial communities in the Human Body
HEALTH-2007-2.1.1-7;Genome-wide association studies in mammalian non-rodent models for the identification of genes relevant to human health and disease
HEALTH-2007-2.1.2-1;A system approach to eukaryotic unicellular organism biology
HEALTH-2007-2.1.2-3;Fundamental approaches to stem cell differentiation
HEALTH-2007-2.1.2-4;Developing an integrated in vitro, in vivo and systems biology modelling approach to understanding apoptosis in the context of health and disease
HEALTH-2007-2.2.1-2;Coding in neuronal assemblies
HEALTH-2007-2.2.1-3;Neurobiology of anxiety disorders
HEALTH-2007-2.2.1-4;Memory loss: underlying mechanisms and therapy
HEALTH-2007-2.2.1-5;From basic spinal mechanisms to spinal cord disease and trauma
HEALTH-2007-2.2.1-6;Neuron-glia interactions in health and disease
HEALTH-2007-2.2.2-1;Novel approaches to reconstitute normal immune function at old age
HEALTH-2007-2.2.2-2;Termination of developmental processes and their reactivation in adult life
HEALTH-2007-2.2.2-3;Biomarkers of ageing
HEALTH-2007-2.2.2-4;Increasing the participation of elderly in clinical trials
HEALTH-2007-2.3.2-1;HIV/AIDS Drug Discovery and Preclinical Development
HEALTH-2007-2.3.2-2;Highly innovative approaches for research into host-pathogen interaction in tuberculosis
HEALTH-2007-2.3.2-3;Development of fast tests for the diagnosis of Multi-Drug-Resistant strains of HIV, malaria and tuberculosis and of latent tuberculosis infection (LTBI)
HEALTH-2007-2.3.2-4;Addressing knowledge gaps in pregnancy malaria
HEALTH-2007-2.3.2-5;Paediatric formulations of drugs against HIV/AIDS, malaria and tuberculosis
HEALTH-2007-2.3.2-6;New HIV Vaccines inducing broadly-reactive neutralising antibodies
HEALTH-2007-2.3.3-1;Development of broadly protective influenza vaccine candidates
HEALTH-2007-2.3.3-2;Identifying immunological mechanisms of protection for influenza vaccines
HEALTH-2007-2.3.3-4;Innovative point-of-care diagnostic tests for influenza
HEALTH-2007-2.3.3-6;Development of pandemic influenza containment and mitigation strategies
HEALTH-2007-2.3.3-7;Supporting highly innovative inter-disciplinary research on influenza
HEALTH-2007-2.3.3-8;Influenza research in collaboration with Asian partners
HEALTH-2007-2.4.1-1;Translating the knowledge on non-coding RNAs linked to the aetiology of cancer into novel diagnosis and therapy strategies
HEALTH-2007-2.4.1-2;Translating clinical 'omics'-technology (genomics, proteomics, metabolomics) into innovative cancer biomarkers aiding in early diagnosis, prognosis and treatment selection of cancer patients
HEALTH-2007-2.4.1-3;Genomic instability and genomic alterations in pre-cancerous lesions and/or cancer
HEALTH-2007-2.4.2-2;Vascular remodelling in aneurysmal disease
HEALTH-2007-2.4.2-3;Combating stroke
HEALTH-2007-2.4.3-1;Early processes in the pathogenesis of type 1 diabetes and strategies for early prevention
HEALTH-2007-2.4.3-3;Insulin resistance as a key factor in the development of diabetes and metabolic syndrome
HEALTH-2007-2.4.3-4;Pathophysiological mechanisms related to excess fat
HEALTH-2007-2.4.3-5;A road-map for diabetes research
HEALTH-2007-2.4.5-1;Osteoarthritis
HEALTH-2007-2.4.5-2;Inflammatory bowel disease
HEALTH-2007-2.4.5-3;Osteoporosis: signalling pathways in bone formation and homeostasis
HEALTH-2007-2.4.5-6;Innovative concepts in chronic obstructive pulmonary disease pathogenesis (COPD)
HEALTH-2007-4.1-4;Identifying patients' needs in the clinical trials context
HEALTH-2007-4.1-5;Science communication actions
HEALTH-2007-4.1-6;Initiatives to foster dialogue and debate on health research issues of interest to the public
HEALTH-2007-4.2-4;Health statistics and rare events
KBBE-2007-1-4-03;The farm of tomorrow
KBBE-2007-1-4-14;Cost of production using FADN data
KBBE-2007-1-4-18;External costs of pesticides
KBBE-2007-3-1-02;ENERGY PLANTS - Novel plants for energy production
KBBE-2007-3-2-03;DESIGNER ENZYMES - Improved biocatalysts for bioprocesses
ENERGY-2007-2.1-03;Concentrating photovoltaics: cells, optics, modules
PEOPLE-2007-5.3;Trans-National collaboration among ERA-MORE Members (ERA-MORE)
Fission-2007-4.1-03;Databases and tissue banks
ERC-SG;Starting Grants
HEALTH-2007-1.1-2;Temporal and spatial proteomics to study biological processes relevant to human health
HEALTH-2007-1.2-3;Novel targeted imaging probes for early in vivo diagnosis and/or evaluation of response to therapy
KBBE-2007-1-4-08;Drivers and limits of enhanced trade in agricultural and food products
SSH-2007-5.2-01;Histories and Identities - articulating national and European identities
SSH-2007-5.2-02;The sources of European cultural development
SSH-2007-4.2-02;Articulation of rule of law and protection of human rights at national, European and international levels
SiS-2007-1.1.1.1;Revisiting the challenges of the interaction between science and politics in the European knowledge-based society
SiS-2007-1.2.1.1;CSO capacity building in research
SiS-2007-1.1.2.1;Ethical frameworks of new technologies
SiS-2007-1.1.2.2;Research underpinning policy related to ethics, precaution and sustainable development
SSH-2007-8.0-01;Emerging needs
HEALTH-2007-2.4.5-5;Intervertebral disc degeneration: prevention and repair
KBBE-2007-1-3-03;Optimising research efforts for the development of the most effective tools for controlling infectious animal diseases
KBBE-2007-2.4-02;Detecting contaminants in the food and feed chain
KBBE-2007-2-3-04;Nano-devices for quality assurance, food safety and product properties
FP7-2008-PEOPLE-NIGHT;"Marie Curie Action: ""Researchers' Night 2008"""
ENV.2007.4.1.3.2.;Monitoring the ocean interior, seafloor, and sub-seafloor
ENV.2007.1.1.3.1.;Ocean acidification and its consequences
ENV.2007.1.3.2.1.;Frame for better vulnerability assessment
ENERGY-2007-3.3-03;Developing biorefinery concepts
ENERGY-2007-2.5-02;Using CSP for water desalination
KBBE-2007-1-4-13;New sources of employment in rural areas
KBBE-2007-1-4-15;Assessing the socio-economic consequences and costs benefits of measures promoting good animal welfare
SSH-2007-3.1-03;Migration
SSH-2007-3.2-01;Youth and social exclusion
HEALTH-2007-1.3-3;Promotion, development, validation, acceptance and implementation of QSARs (quantitative structure-activity relationship) for toxicology
HEALTH-2007-2.4.5-7;Hearing impairment and degeneration
KBBE-2007-1-1-01;Development of new tools and processes to support R&D in crop plants: molecular breeding
KBBE-2007-2-4-01;Exposure to food additives, flavourings, and migrants coming from the food contacts materials Dietary intake models
ENV.2007.2.1.4.1.;Contribution of biodiversity to ecosystem services
KBBE-2007-2-5-01;Assessment of short and long term effects of GMOs on human and animal health
KBBE-2007-3-1-04;FOREST PRODUCTS - New forest based products and processes
KBBE-2007-3-3-03;ANIMAL BY-PRODUCTS - Novel methods of treatment of animal by-products for the production of substances with biologically valuable functional properties
SiS;Science in Society
SiS-2007-3.0.3.1;Actions to encourage co-operation and networking between science museums, science centres and/or the organisers of national and regional events.
SiS-2007-2.2.2.1;Images of science
SiS.2007-2.2.1.2;Teaching methods
SiS-2007-2.2.1.1;Links between science education and research
KBBE-2007-1-4-07;Costs of different standard setting and certification systems for organic food and farming
KBBE-2007-2-4-02;Detecting contaminants in the food and feed chain
NMP-2007-1.1-1;Nano-scale mechanisms of bio/non-bio interactions
ENERGY-2007-2.6-01;New components and concepts for ocean energy converters
NMP-2007-2.1-1;Nanostructured polymer-matrix composites
SiS-2007-2.1.1.1;Survey of positive action schemes in the area of Research Decision-making
NMP-2007-2.4-2;Nanostructured catalysts with tailor-made functional surfaces
ENERGY-2007-2.3-02;External conditions, resource assessment and forecasting for wind energy
NMP-2007-3.2-1;Rapidly Configurable Machines and Production Systems
NMP-2007-2.5-2;Modelling of microstructural evolution under work conditions and in materials processing
NMP-2007-3.4-2;Innovative Pathways in Synthesis - Improving efficiency by smart synthesis, design and reduction of the number of reaction steps
NMP-2007-2.2-2;Nanostructured materials with tailored magnetic properties
NMP-2007-3.3-1;Innovative Customer-Driven Product-Service Design in a Global Environment
NMP-2007-2.2-3;Advanced material architectures for energy conversion
KBBE-2007-3-1-03;GREEN OIL - Plants providing oils of the future
KBBE-2007-1-3-01;Breeding tools for improved livestock products
KBBE-2007-3-3-01;SYNTHETIC BIOLOGY FOR THE ENVIRONMENT - The use of Synthetic Biology for the solution of environmental problems
PEOPLE-2007-1-1-ITN;"Marie Curie Action: ""Networks for Initial Training"""
SEC-2007-4.2-04;Wireless communication for EU crisis management
SiS-2008-1.1.1.3;"Expert group on the ""global governance of science"""
SiS-2009-1.1.2.1;Privacy and emerging fields of science and technology: ethical, social and legal aspects
SiS-2009-1.1.2.2;Networking and capacity building activities to support ethics committees
SiS-2009-1.2.1.1;Structuring Public Engagement in Research (PER)
SiS-2008-1.3.2.1;Supporting Transnational exchange of experience between Research Integrity Structures
SiS-2009-1.3.2.1;Governance and Ethics of the responsible development of Nanosciences and Nanotechnologies
SiS-2009-1.4.1;Support to take-up activities by universities of specific guidelines and recommendations to implement their modernisation agenda: grant to an Identified Beneficiary
SiS-2009-1.4.2;Expert Group on managing human resources in research universities
SiS 2009-1.4.3;Support to the 2009 Swedish Presidency Conference on the Knowledge Triangle and the role of Universities: Grant to an Identified Beneficiary
SiS-2009-2.1.1.1;Involving research bodies in the debate on gender and research
SiS-2009-2.1.2.1;Mobilising science centres and museums on women and science
SiS-2008-2.2.1.1;Innovative methods in science education
SiS-2009-2.2.3.1;Supporting and coordinating actions on innovation in the classroom: Dissemination and use of inquiry-based teaching methods on a large scale in Europe
SiS-2009-2.2.3.2;International dimension of research on science education
SiS-3.0.1;The provision of reliable and timely scientific information for the press and other media
SiS-3.0.2;Training actions to bridge the gap between the media and the scientific community
SiS-2008-3.0.2.2;Support training activities of journalists and authors in the EU Member States and the associated countries in EC-funded research laboratories
SiS-2009-3.0.3.1;Platform of networks grouping science museums, organizers of science events and the cities
SiS-3.0.4;Promoting science by audio-visual means via European co-productions and the circulation of science programmes
SiS-2009-3.0.5.1;European Union Contest for Young Scientists (EUCYS) 2009: Grant to an Identified Beneficiary
HEALTH-2009-1.1-1;Computational tools for genome annotation and genotype/phenotype data integration
HEALTH-2009-1.1-2;High throughput tools and technologies to analyse samples in large-scale human biobanks
HEALTH-2009-1.1-3;Tools, technologies and resources for the characterisation of protein functions
HEALTH-2009-1.2-1;Development of tools for sensitive and specific in vitro detection of proteins and their interactions for diagnostic, prognostic and monitoring purposes
HEALTH-2009-1.2-2;Design of methods suited to identify epigenetic factors and their use in the genetic diagnosis of relevant disorders
HEALTH-2009-1.2-3;Novel MR-compatible PET detectors for simultaneous PET/MRI imaging
HEALTH-2009-1.2-4;Novel imaging systems for in vivo monitoring and quality control during tumour ion beam therapy
HEALTH-2009-1.2-5;Activatable or smart in vivo imaging agents reporting on physico-chemical or molecular changes relevant to the diagnosis and/or monitoring of diseases
HEALTH-2009-1.2-6;Evaluation of the potential health impact of diagnostic imaging agents doses
HEALTH-2009-1.3-1;New initiatives towards the implementation of the Replace, Reduce and Refine strategy
HEALTH-2009-1.4-1;Cell therapy for tissue and organs
HEALTH-2009-1.4-2;Regeneration of tissue using bio-compatible materials and cells
HEALTH-2009-1.4-3;Activation of endogenous cells as an approach to regenerative medicine
HEALTH-2009-2.1.1-1;Large-scale functional genomics effort in multi-cellular organisms to elucidate the function of human genes products
HEALTH-2009-2.1.1-2;Large-scale functional genomics efforts to identify molecular determinants of cancer
HEALTH-2009-2.1.1-3;Characterization of human genetic variation in Europe
HEALTH-2009-2.1.2-1;Systems biology approaches for basic biological processes relevant to health and disease
HEALTH-2009-2.2.1-1;Synaptopathies: genesis, mechanisms and therapy
HEALTH-2009-2.2.1-2;Identifying genetic and environmental interactions in schizophrenia
HEALTH-2009-2.2.1-3;Optimising current therapeutic approaches to schizophrenia
HEALTH-2009-2.2.1-4;Understanding the blood brain barrier (BBB) to improve drug delivery to the brain
HEALTH-2009-2.2.1-5;Psycho-social factors of brain disorders
HEALTH-2009-2.3.3-1;Efficacy and effectiveness of personal protection equipment and other measures against influenza transmission
HEALTH-2009-2.4.2-1;Improved or new therapeutic approaches for the treatment of heart failure
HEALTH-2009-2.4.2-2;Cardiac arrhythmias: from genes to improved management of patients
HEALTH-2009-2.4.2-3;Translation of basic knowledge on inherited cardiomyopathies into clinical practice
HEALTH-2009-2.4.3-1;Novel therapeutical approach to pregnancy-induced diabetes
HEALTH-2009-2.4.3-2;Novel immunotherapies for type 1 diabetes
HEALTH-2009-2.4.3-3;Molecular pathways in food intake at CNS-liver-gut regulation level
HEALTH-2009-2.4.4-1;Rare neurological diseases
HEALTH-2009-2.4.4-2;Preclinical development of substances with a clear potential as orphan drugs
HEALTH-2009-2.4.5-1;Prevention and treatment of non-alcoholic fatty liver disease (NAFLD)
HEALTH-2009-2.4.5-2;Cellular and molecular mechanisms of the development of chronic kidney disease (CKD)
HEALTH-2009-3.1-2;Improve quality and safety of hospital care
HEALTH-2009-3.1-3;Complementary and Alternative Medicine
HEALTH-2009-3.1-4;Improved treatment of chronic diseases in developing countries
HEALTH-2009-3.2-1;Organisation of dementia care
HEALTH-2009-3.2-2;Healthcare outcomes and cost-benefits
HEALTH-2009-3.2-3;Primary care quality linkage to costs
HEALTH-2009-3.2-4;Impact of cross border collaboration on health services
HEALTH-2009-3.2-6;Scoping study to address the methodological challenges of quantifying the socio-economic burden of brain diseases in the enlarged European Union compared to other major diseases
HEALTH-2009-3.3-1;Child and adolescent mental health
HEALTH-2009-3.3-2;Environmental prevention of substance abuse by adolescents
HEALTH-2009-3.3-4;Birth/Mother - Child Cohorts co-ordination
HEALTH-2009-3.3-5;European child health research platform
HEALTH-2009-4.1-1;Monitoring tool and technology transfer analysis for health grants during FP7
HEALTH-2009-4.1-2;Dissemination of results from research in Life Sciences and Biotechnology for Health to the general public and/or information multipliers
HEALTH-2009-4.2-1;Adapting off-patent medicines to the specific needs of paediatric populations
HEALTH-2009-4.2-2;Study of the Arrhythmogenic potential of different classes of medicines
HEALTH-2009-4.2-3;Human Papillomavirus Vaccination (HPV) and cervical cancer screening programmes: estimate of impact of different policy options by way of disease modelling and health economics
HEALTH-2009-4.2-4;Coordinating action on organ procurement and transplantation with a focus on new EU Member States
HEALTH-4.3;Specific International Cooperation Actions (SICA)
